x y
1197.568896754528 908.406844481077
1002.6876931340269 102.0187496168534
1106.5820608215674 206.39245727190055
891.7468645538544 616.5838170558385
418.58093123434224 500.41824570977695
1008.3264983009565 99.30905660831263
397.06586101997294 512.8089521647487
1405.1407719267827 794.798516230234
384.7728938616265 504.4410882295178
1097.8686377127997 195.35749290625515
1288.6511766957308 1501.816495668726
1302.427740884529 1496.3268981696106
1294.240930010883 1502.4224371715331
104.35107034869628 1113.966134063498
317.2379609310082 288.52296229929624
197.7540127942528 405.39355333541846
899.2062432705487 615.6369033986686
1384.3622610068724 795.1414645151051
304.927670187435 294.3507418044086
1010.7672749362812 99.59995534289557
403.33623673280977 495.65326230733723
1204.8762930138491 887.1383265821183
1287.9177666298199 1505.6917380462103
1104.1674352485784 212.0101930506438
889.6345357704691 597.6925675744269
312.4893180946644 292.7222773942614
1096.6867677895418 205.9077560688038
197.37811549188393 404.3903726742994
98.41201181201792 1094.9932606108032
897.0978851573466 601.9259400875125
295.84067202704927 289.9067962709928
310.1413074318159 295.044186226166
216.44225787850857 393.3371580319158
1194.0051447381024 912.48296223322
998.3041269929404 105.92657449748683
1089.0412099925024 187.90430826199326
391.47707753235255 487.29595900564306
895.4896660308299 597.1630281566664
1109.0910466003133 196.69091864714565
1205.5435858016165 899.4141294814154
1005.672980627044 95.19355550073682
101.4084802656676 1109.92117586677
390.68320600573486 493.9481369026083
1296.5486267177985 1503.287321380671
904.8399638737794 586.9240116728954
898.697416114381 587.3399189114681
1399.3610350352174 796.6144719101738
1391.9716059247296 819.6305793689623
307.21658917814915 304.8718358489994
304.20672781159783 315.3227912870384
1393.8150891398618 797.4919271202164
905.9583234473587 603.9597938044599
1402.109336848503 803.2222199478692
1307.6625999199343 1505.2168999764267
1100.0831946737283 190.36803389626155
1003.9788016825861 102.15510189115793
393.5766920027122 495.3735785571571
200.0043153655676 399.8505996094113
990.2361631691672 86.00321579437694
298.2070944246008 306.6275113407678
1209.4316165117768 911.6758568373564
1302.8125825965333 1489.9352556834858
96.01021006079935 1102.0737453123431
105.45191043710615 1093.4709413986636
308.68587396697274 309.45101925876867
396.58243505171873 498.4089585097772
1099.858690890946 203.7302067824952
1096.120177435263 205.94902708417723
1391.8918155521667 809.3842864823195
98.4886553209808 1105.259285470663
200.36309762211698 404.7838257311194
1293.0386408759052 1500.3740814042121
104.94969957793604 1091.0303945963074
400.80125152591427 500.0383699538781
1196.5291998292587 913.4063041356839
93.95582044211673 1115.5992298205688
1196.2141940489068 906.6381205698327
301.9015498827126 298.12793816928223
94.8236524631232 1094.1765636398022
1389.7917036411015 793.1977767422397
998.594792633282 91.15461993303414
1399.3622417711315 793.0574411317057
209.0765124861489 403.4456214638407
402.1415486404495 499.1279078817544
1306.913864651288 1513.5318572656481
1014.6022627853292 89.26529957759857
1400.186920735101 795.1512137343718
891.485566489627 599.7041233467125
181.02851180056214 379.25030813485364
1285.7934113873803 1496.1448528772962
1201.7520475108158 888.083107631261
100.00738146087018 1114.4495574709488
1209.5732241747255 904.6447804034929
190.50372976027003 404.40381328537563
914.7846808187544 606.2439876002907
199.55337893766696 393.9792247414929
194.1593963629757 414.31926713320087
1089.7501384168766 202.1549728511696
1015.9512274660881 114.54022557940594
1203.0228242768817 903.9541510004627
